graph_idx,node_idx,package,version,operation,value,file,code_full,code,startLineNumber,startColumnNumber,endLineNumber,endColumnNumber,tainted,flows_from,sink_type
0,1,pkg_0000,0.0.0,call:spawnWithSignal,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0000 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // tainted value flows unsanitized into a command sink (call:spawnWithSignal)
  return cp.exec('run --target ' + input);
}
module.exports = handler;
",9,10,9,68,True,2,spawn
1,1,pkg_0001,0.0.0,call:exec,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0001 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:exec)
  return Function('return ' + payload)();
}
module.exports = handler;
",203,7,209,9,True,2,exec
2,1,pkg_0002,0.0.0,call:Function,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0002 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // tainted value flows unsanitized into a command sink (call:Function)
  return cp.exec('run --target ' + input);
}
module.exports = handler;
",258,14,258,67,True,2,Function
3,1,pkg_0003,0.0.0,call:execSync,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0003 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:execSync)
  return Function('return ' + payload)();
}
module.exports = handler;
",243,7,244,30,True,2,exec
4,1,pkg_0004,0.0.0,call:spawnWithSignal,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0004 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // input is sanitized to an allowlist before use (call:spawnWithSignal)
  const arg = String(input).replace(/[^a-z0-9_.-]/gi, '');
  return cp.execFile('run', ['--target', arg]);
}
module.exports = handler;
",11,20,11,61,False,2,spawn
5,1,pkg_0005,0.0.0,call:exec,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0005 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:exec)
  return Function('return ' + payload)();
}
module.exports = handler;
",49,14,49,56,True,2,exec
6,1,pkg_0006,0.0.0,call:Function,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0006 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // tainted value flows unsanitized into a command sink (call:Function)
  return cp.exec('run --target ' + input);
}
module.exports = handler;
",218,10,218,66,True,2,Function
7,1,pkg_0007,0.0.0,call:exec,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0007 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:exec)
  return Function('return ' + payload)();
}
module.exports = handler;
",62,3,96,5,True,2,exec
8,1,pkg_0008,0.0.0,call:spawnWithSignal,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0008 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // tainted value flows unsanitized into a command sink (call:spawnWithSignal)
  return cp.exec('run --target ' + input);
}
module.exports = handler;
",98,17,98,59,True,2,spawn
9,1,pkg_0009,0.0.0,call:exec,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0009 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:exec)
  return Function('return ' + payload)();
}
module.exports = handler;
",18,5,18,18,True,2,exec
10,1,pkg_0010,0.0.0,call:spawnWithSignal,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0010 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // input is sanitized to an allowlist before use (call:spawnWithSignal)
  const arg = String(input).replace(/[^a-z0-9_.-]/gi, '');
  return cp.execFile('run', ['--target', arg]);
}
module.exports = handler;
",78,14,78,30,False,2,spawn
11,1,pkg_0011,0.0.0,call:Function,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0011 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:Function)
  return Function('return ' + payload)();
}
module.exports = handler;
",88,12,88,45,True,2,Function
12,1,pkg_0012,0.0.0,call:spawnWithSignal,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0012 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // tainted value flows unsanitized into a command sink (call:spawnWithSignal)
  return cp.exec('run --target ' + input);
}
module.exports = handler;
",24,14,24,41,False,2,spawn
13,1,pkg_0013,0.0.0,call:exec,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0013 — not derived from any real package
function handler(req) {
  // parse a constant, well-formed structure; no dynamic sink (call:exec)
  const cfg = JSON.parse('{""mode"":""safe""}');
  return cfg.mode;
}
module.exports = handler;
",5,3,10,5,False,2,exec
14,1,pkg_0014,0.0.0,call:eval,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0014 — not derived from any real package
const cp = require('child_process');
function handler(input) {
  // input is sanitized to an allowlist before use (call:eval)
  const arg = String(input).replace(/[^a-z0-9_.-]/gi, '');
  return cp.execFile('run', ['--target', arg]);
}
module.exports = handler;
",11,10,11,69,True,2,eval
15,1,pkg_0015,0.0.0,call:spawnWithSignal,redacted,redacted,redacted,"// SYNTHETIC SAMPLE #0015 — not derived from any real package
function handler(req) {
  const payload = req.query.data;
  // unsafe dynamic evaluation of attacker-controlled input (call:spawnWithSignal)
  return Function('return ' + payload)();
}
module.exports = handler;
",25,10,25,69,True,2,spawn
