id,version,confirmed,vuln_type,graph_idx
pkg_0000,0.0.0,True,ACI,0
pkg_0001,0.0.0,True,ACI,1
pkg_0002,0.0.0,True,ACE,2
pkg_0003,0.0.0,True,ACI,3
pkg_0004,0.0.0,False,ACI,4
pkg_0005,0.0.0,True,ACI,5
pkg_0006,0.0.0,True,ACE,6
pkg_0007,0.0.0,True,ACI,7
pkg_0008,0.0.0,True,ACI,8
pkg_0009,0.0.0,True,ACI,9
pkg_0010,0.0.0,False,ACI,10
pkg_0011,0.0.0,True,ACE,11
pkg_0012,0.0.0,True,ACI,12
pkg_0013,0.0.0,False,ACI,13
pkg_0014,0.0.0,False,ACE,14
pkg_0015,0.0.0,True,ACI,15
pkg_0016,0.0.0,False,ACE,16
pkg_0017,0.0.0,True,ACI,17
pkg_0018,0.0.0,True,ACI,18
pkg_0019,0.0.0,False,ACI,19
pkg_0020,0.0.0,True,ACI,20
pkg_0021,0.0.0,False,ACI,21
pkg_0022,0.0.0,False,ACI,22
pkg_0023,0.0.0,True,ACE,23
pkg_0024,0.0.0,False,ACI,24
pkg_0025,0.0.0,True,ACE,25
pkg_0026,0.0.0,False,ACI,26
pkg_0027,0.0.0,True,ACI,27
pkg_0028,0.0.0,True,ACI,28
pkg_0029,0.0.0,False,ACI,29
pkg_0030,0.0.0,True,ACI,30
pkg_0031,0.0.0,True,ACI,31
pkg_0032,0.0.0,True,ACI,32
pkg_0033,0.0.0,False,ACI,33
pkg_0034,0.0.0,True,ACI,34
pkg_0035,0.0.0,True,ACE,35
pkg_0036,0.0.0,False,ACE,36
pkg_0037,0.0.0,True,ACI,37
pkg_0038,0.0.0,True,ACE,38
pkg_0039,0.0.0,True,ACI,39
pkg_0040,0.0.0,True,ACI,40
pkg_0041,0.0.0,False,ACE,41
pkg_0042,0.0.0,False,ACI,42
pkg_0043,0.0.0,True,ACI,43
pkg_0044,0.0.0,True,ACE,44
pkg_0045,0.0.0,True,ACE,45
pkg_0046,0.0.0,True,ACE,46
pkg_0047,0.0.0,True,ACE,47
pkg_0048,0.0.0,True,ACI,48
pkg_0049,0.0.0,True,ACI,49
pkg_0050,0.0.0,False,ACI,50
pkg_0051,0.0.0,True,ACI,51
pkg_0052,0.0.0,True,ACI,52
pkg_0053,0.0.0,False,ACI,53
pkg_0054,0.0.0,True,ACI,54
pkg_0055,0.0.0,True,ACI,55
pkg_0056,0.0.0,True,ACI,56
pkg_0057,0.0.0,False,ACI,57
pkg_0058,0.0.0,True,ACE,58
pkg_0059,0.0.0,True,ACE,59
pkg_0060,0.0.0,False,ACI,60
pkg_0061,0.0.0,True,ACI,61
pkg_0062,0.0.0,True,ACI,62
pkg_0063,0.0.0,True,ACI,63
pkg_0064,0.0.0,False,ACI,64
pkg_0065,0.0.0,True,ACI,65
pkg_0066,0.0.0,False,ACI,66
pkg_0067,0.0.0,True,ACE,67
pkg_0068,0.0.0,True,ACI,68
pkg_0069,0.0.0,True,ACE,69
pkg_0070,0.0.0,True,ACI,70
pkg_0071,0.0.0,True,ACI,71
pkg_0072,0.0.0,True,ACI,72
pkg_0073,0.0.0,False,ACI,73
pkg_0074,0.0.0,True,ACE,74
pkg_0075,0.0.0,False,ACI,75
pkg_0076,0.0.0,True,ACE,76
pkg_0077,0.0.0,True,ACI,77
pkg_0078,0.0.0,False,ACI,78
pkg_0079,0.0.0,True,ACI,79
pkg_0080,0.0.0,True,ACI,80
pkg_0081,0.0.0,True,ACI,81
pkg_0082,0.0.0,False,ACI,82
pkg_0083,0.0.0,False,ACI,83
pkg_0084,0.0.0,False,ACI,84
pkg_0085,0.0.0,True,ACI,85
pkg_0086,0.0.0,True,ACI,86
pkg_0087,0.0.0,True,ACE,87
pkg_0088,0.0.0,True,ACI,88
pkg_0089,0.0.0,True,ACI,89
pkg_0090,0.0.0,True,ACI,90
pkg_0091,0.0.0,True,ACI,91
pkg_0092,0.0.0,True,ACE,92
pkg_0093,0.0.0,True,ACI,93
pkg_0094,0.0.0,True,ACI,94
pkg_0095,0.0.0,True,ACI,95
pkg_0096,0.0.0,False,ACE,96
pkg_0097,0.0.0,False,ACI,97
pkg_0098,0.0.0,True,ACI,98
pkg_0099,0.0.0,True,ACI,99
pkg_0100,0.0.0,True,ACI,100
pkg_0101,0.0.0,True,ACE,101
pkg_0102,0.0.0,True,ACI,102
pkg_0103,0.0.0,True,ACI,103
pkg_0104,0.0.0,True,ACE,104
pkg_0105,0.0.0,True,ACI,105
pkg_0106,0.0.0,True,ACI,106
pkg_0107,0.0.0,True,ACI,107
pkg_0108,0.0.0,False,ACI,108
pkg_0109,0.0.0,True,ACE,109
pkg_0110,0.0.0,False,ACI,110
pkg_0111,0.0.0,True,ACI,111
pkg_0112,0.0.0,False,ACE,112
pkg_0113,0.0.0,True,ACE,113
pkg_0114,0.0.0,False,ACI,114
pkg_0115,0.0.0,True,ACI,115
pkg_0116,0.0.0,True,ACI,116
pkg_0117,0.0.0,False,ACI,117
pkg_0118,0.0.0,False,ACI,118
pkg_0119,0.0.0,True,ACI,119
pkg_0120,0.0.0,False,ACI,120
pkg_0121,0.0.0,True,ACI,121
pkg_0122,0.0.0,True,ACI,122
pkg_0123,0.0.0,True,ACI,123
pkg_0124,0.0.0,False,ACI,124
pkg_0125,0.0.0,True,ACI,125
pkg_0126,0.0.0,True,ACI,126
pkg_0127,0.0.0,False,ACI,127
pkg_0128,0.0.0,False,ACI,128
pkg_0129,0.0.0,False,ACI,129
pkg_0130,0.0.0,True,ACI,130
pkg_0131,0.0.0,False,ACI,131
pkg_0132,0.0.0,False,ACI,132
pkg_0133,0.0.0,True,ACI,133
pkg_0134,0.0.0,True,ACI,134
pkg_0135,0.0.0,False,ACE,135
pkg_0136,0.0.0,True,ACE,136
pkg_0137,0.0.0,True,ACI,137
